1101 张峰 899 100 100 100 800 50 750
1102 唐海涌 500 100 100 100 800 50 750
1103 林建行 560 100 100 100 800 50 750
1104 雷振扩 478 189 123 145 876 67 800
1105 蒙世满 637 178 189 378 890 78 988
1106 李银兴 786 237 167 189 903 78 967
1107 李波鸿 467 128 233 179 768 56 876
1108 杨家雄 345 56 234 123 564 79 564
1109 陈磊 456 66 67 123 577 68 688
1110 叶芝虎 345 67 80 135 457 35 567
1111 黄海妮 456 78 123 234 799 67 890
1112 闭龙堂 488 78 67 123 579 57 588
1113 陈欢成 578 67 79 80 567 76 598
1114 邓旭园 567 56 78 80 568 46 568
1115 覃亮渝 678 57 78 78 638 89 689
1116 梁富学 589 78 89 68 691 78 614
1117 黎海萍 367 67 78 89 400 67 401
1118 史瑞鑫 432 78 56 46 498 78 491
1119 王银丁 452 67 78 56 594 78 594
1120 覃志伟 467 78 89 68 379 78 799
1121 李瑞林 678 78 89 67 799 89 787
1122 袁嘉华 688 67 56 79 799 79 757
1123 梁耀宁 789 67 67 54 843 66 976
1124 罗织艺 567 67 78 45 685 56 767
1125 王家杰 678 67 89 45 754 67 754
1126 杨曦 463 67 78 89 586 75 575
1127 唐晓峰 687 78 67 79 786 78 789
1128 刘元成 675 78 89 56 754 67 789
1129 郑璐璐 234 78 89 90 491 24.55 466.45
1130 陆翠英 234 67 78 89 468 23.4 444.6 
1131 赵婧魏 567 67 78 89 567 78 678
1132 吴敏 685 67 56 78 557 78 890
1133 莫霞 567 67 79 78 579 67 578
1134 黎秋婷 678 78 89 56 678 67 696
1135 唐唐 799 68 68 79 796 68 796
1136 小蒙蒙 685 46 35 78 575 78 765
1137 林美女 807 57 89 08 578 97 578
1138 小雷雷 457 34 68 23 786 34 667
1139 小李子 688 68 78 56 789 57 467
1140 大明 786 66 67 57 798 78 766
1141 琳达 688 57 78 89 789 89 688
1142 峰哥 686 78 66 78 897 78 890
1143 小波波 789 79 80 80 779 89 890
1144 尹伟伟 686 67 78 78 686 87 577
1145 谭海山 776 68 68 78 686 79 685
1146 郭勇 665 78 86 68 796 76 557
1147 罗东 686 75 78 57 865 86 578
1148 罗飞 666 78 75 86 558 78 575
1149 周海媚 786 86 75 86 689 97 976
1150 陈柏廷 685 68 97 86 869 68 778
1151 张发建 768 68 68 97 689 77 689
